Country,Year,AQI
Iraq,2020,49.93846153846154
Iraq,2021,49.93846153846154
Ireland,2018,9.5
Ireland,2019,10.6
Ireland,2020,8.6
Ireland,2021,8.597797356828194
Israel,2018,18.6
Israel,2019,20.8
Israel,2020,16.9
Israel,2021,18.794094488188975
Italy,2018,14.9
Italy,2019,17.1
Italy,2020,18.5
Italy,2021,14.355367504835591
Japan,2018,12.0
Japan,2019,11.4
Japan,2020,9.8
Japan,2021,8.9035485975212
Jordan,2018,16.525000000000002
Jordan,2019,18.3
Jordan,2020,14.9
Jordan,2021,16.375
Kazakhstan,2018,29.8
Kazakhstan,2019,23.6
Kazakhstan,2020,21.9
Kazakhstan,2021,28.726645768025076
Kenya,2018,14.273076923076923
Kenya,2019,14.273076923076923
Kenya,2020,14.2
Kenya,2021,14.346153846153847
Kosovo,2018,30.4
Kosovo,2019,23.5
Kosovo,2020,20.0
Kosovo,2021,13.876433121019108
Kuwait,2018,56.0
Kuwait,2019,38.3
Kuwait,2020,34.0
Kuwait,2021,29.644000000000002
Kyrgyzstan,2018,44.428
Kyrgyzstan,2019,33.2
Kyrgyzstan,2020,43.5
Kyrgyzstan,2021,56.583999999999996
Laos,2018,22.34871794871795
Laos,2019,23.1
Laos,2020,22.4
Laos,2021,21.54615384615385
Lebanon,2018,25.8
Lebanon,2019,25.8
Lebanon,2020,25.8
Lebanon,2021,25.8
Liechtenstein,2018,6.988888888888889
Liechtenstein,2019,6.988888888888889
Liechtenstein,2020,6.988888888888889
Liechtenstein,2021,6.988888888888889
Lithuania,2018,17.5
Lithuania,2019,14.5
Lithuania,2020,11.7
Lithuania,2021,10.684705882352942
Luxembourg,2018,11.2
Luxembourg,2019,9.6
Luxembourg,2020,9.0
Luxembourg,2021,8.76530612244898
Macao SAR,2018,21.2
Macao SAR,2019,23.5
Macao SAR,2020,17.8
Macao SAR,2021,17.007692307692306
Madagascar,2018,18.334
Madagascar,2019,18.334
Madagascar,2020,20.0
Madagascar,2021,16.668
Malaysia,2018,16.855838926174496
Malaysia,2019,19.4
Malaysia,2020,15.6
Malaysia,2021,15.567516778523489
Malta,2018,11.0
Malta,2019,9.4
Malta,2020,11.8
Malta,2021,12.85135135135135
Mexico,2018,20.3
Mexico,2019,20.0
Mexico,2020,18.9
Mexico,2021,15.895366795366794
Mongolia,2018,58.5
Mongolia,2019,62.0
Mongolia,2020,46.6
Mongolia,2021,15.336470588235294
Montenegro,2018,30.577272727272728
Montenegro,2019,30.577272727272728
Montenegro,2020,26.1
Montenegro,2021,35.054545454545455
Myanmar,2018,29.56086956521739
Myanmar,2019,31.0
Myanmar,2020,29.4
Myanmar,2021,28.282608695652176
Nepal,2018,54.1
Nepal,2019,44.5
Nepal,2020,39.2
Nepal,2021,43.60508474576271
Netherlands,2018,11.7
Netherlands,2019,10.9
Netherlands,2020,9.7
Netherlands,2021,11.38225806451613
New Caledonia,2018,3.7615384615384615
New Caledonia,2019,3.7615384615384615
New Caledonia,2020,3.7
New Caledonia,2021,3.8230769230769233
New Zealand,2018,7.7
New Zealand,2019,7.5
New Zealand,2020,7.0
New Zealand,2021,8.495967741935484
Nigeria,2018,34.102380952380955
Nigeria,2019,34.102380952380955
Nigeria,2020,34.102380952380955
Nigeria,2021,34.102380952380955
North Macedonia,2018,35.5
North Macedonia,2019,32.4
North Macedonia,2020,30.6
North Macedonia,2021,23.02753623188406
Norway,2018,7.6
Norway,2019,6.9
Norway,2020,5.7
Norway,2021,7.518105849582173
Oman,2018,49.61153846153846
Oman,2019,49.61153846153846
Oman,2020,44.4
Oman,2021,54.823076923076925
Pakistan,2018,74.3
Pakistan,2019,65.8
Pakistan,2020,59.0
Pakistan,2021,72.36728971962617
Peru,2018,28.0
Peru,2019,23.3
Peru,2020,17.9
Peru,2021,18.550526315789472
Philippines,2018,14.6
Philippines,2019,17.6
Philippines,2020,12.8
Philippines,2021,14.735593220338982
Poland,2018,22.4
Poland,2019,18.7
Poland,2020,16.9
Poland,2021,19.013383600377004
Portugal,2018,9.4
Portugal,2019,9.3
Portugal,2020,9.1
Portugal,2021,7.049787234042554
Puerto Rico,2018,13.7
Puerto Rico,2019,10.2
Puerto Rico,2020,3.7
Puerto Rico,2021,4.550000000000001
Qatar,2018,41.269230769230774
Qatar,2019,41.269230769230774
Qatar,2020,44.3
Qatar,2021,38.23846153846154
Romania,2018,18.6
Romania,2019,18.3
Romania,2020,15.8
