Country,Type,Year,AQI
"Shouguang, China",City,2018,52.6
"Kizilsu, China",City,2018,60.0
"Ajmer, India",City,2018,54.0
"Chandigarh, India",City,2018,42.86666666666667
"Gandhinagar, India",City,2018,46.1
"Shymkent, Kazakhstan",City,2018,43.5
"Zhengzhou, China",City,2018,64.1
"Yibin, China",City,2018,49.3
"Tangshan, China",City,2018,63.5
"Yanta, China",City,2018,43.2
"Zhoucun, China",City,2018,43.2
"Yangliuqing, China",City,2018,43.1
"Changsha, China",City,2018,45.8
"Yangcun, China",City,2018,43.0
"Talcher, India",City,2018,58.0
"Zhumadian, China",City,2018,60.4
"Ratlam, India",City,2018,44.65
"Alwar, India",City,2018,52.8
"Laktasi, Bosnia Herzegovina",City,2018,42.8
"Taozhuang, China",City,2018,42.8
"Tashkent, Uzbekistan",City,2018,34.3
"Sanmenxia, China",City,2018,57.5
"Hengshui, China",City,2018,65.7
"Renqiu, China",City,2018,42.6
"Binzhou, China",City,2018,55.8
"Bhopal, India",City,2018,42.1
"Jabalpur, India",City,2018,44.6
"Yanzhou, China",City,2018,42.4
"Zhangqiu, China",City,2018,49.2
"Siliguri, India",City,2018,44.5
"Xiangtan, China",City,2018,46.6
"Prijedor, Bosnia Herzegovina",City,2018,42.2
"Huaibei, China",City,2018,58.2
"Huainan, China",City,2018,54.8
"Pune, India",City,2018,46.3
"Bloemfontein, South Africa",City,2018,33.9
"Cangzhou, China",City,2018,65.2
"Korla, China",City,2018,46.3
"Suzhou, China",City,2018,57.6
"Jinan, China",City,2018,52.9
"Qingnian, China",City,2018,42.0
"Wujiaqu, China",City,2018,67.8
"Jinzhou, China",City,2018,44.4
"Esfahan, Iran",City,2018,27.6
"Nanding, China",City,2018,41.5
"Polistena, Italy",City,2018,41.5
"Cacak, Serbia",City,2018,35.9
"Dingtao, China",City,2018,41.3
"Xian, China",City,2018,59.9
"Juye, China",City,2018,41.1
"Islamabad, Pakistan",City,2018,38.6
"Yanliang, China",City,2018,45.833333333333336
"Thanh Pho Thai Nguyen, Vietnam",City,2018,40.8
"Nashik, India",City,2018,39.8
"Caidian, China",City,2018,40.3
"Chengdu, China",City,2018,48.8
"Wuwei, China",City,2018,42.2
"Weifang, China",City,2018,52.6
"Langfang, China",City,2018,55.8
"Yichang, China",City,2018,52.1
