Location,2021,2020,2019,2018,Type
"Manikganj, Bangladesh",46.0,80.2,,,City
"Foca, Bosnia Herzegovina",46.0,,,,City
"Yangquan, China",45.9,46.3,50.6,59.0,City
"Karachi, Pakistan",45.9,43.8,40.2,33.7,City
"Shangqiu, China",45.8,52.7,72.6,61.9,City
"Xianyang, China",45.7,50.5,63.7,67.8,City
"Handan, China",45.6,58.9,64.3,74.0,City
"Huangpi, China",45.6,,,,City
"Jingmen, China",45.6,45.3,56.4,56.2,City
"Pimpri-Chinchwad, India",45.6,41.4,35.9,,City
"Barddhaman, India",45.6,,,,City
"Indore, India",45.5,40.0,,,City
"Baoding, China",45.4,52.2,57.7,70.7,City
"Urumqi, China",45.4,51.2,54.5,59.2,City
"Fengrun, China",45.3,,,,City
"Weinan, China",45.3,52.5,55.6,58.2,City
"Xuchang, China",45.1,53.6,60.6,64.2,City
"Pervomayka, Kazakhstan",45.0,,,,City
"Luoyang, China",44.9,50.7,62.4,59.9,City
"Xinzhou, China",44.9,44.4,41.7,51.4,City
"Bathinda, India",44.9,41.2,31.0,,City
"Luancheng, China",44.8,,,,City
"Zhoukou, China",44.8,50.3,56.6,58.9,City
"Zaozhuang, China",44.8,54.8,59.6,57.6,City
"Fuyang, China",44.7,50.4,51.9,54.4,City
"Linyi, China",44.7,48.4,57.7,50.2,City
"Ujjain, India",44.6,44.6,43.4,54.0,City
"Zigong, China",44.4,45.1,47.5,56.8,City
"Duzce, Turkey",44.4,33.3,46.0,,City
"Visakhapatnam, India",44.3,40.3,44.0,52.8,City
"Qarchak, Iran",44.2,39.5,,,City
"Shahecheng, China",44.1,,,,City
"Dezhou, China",44.1,50.1,53.4,54.8,City
"Taian, China",44.1,51.2,57.6,51.7,City
"Khartoum, Sudan",44.1,,,,City
"Xingtai, China",44.0,55.9,63.5,76.7,City
"Shouguang, China",43.9,49.7,57.2,52.6,City
"Kizilsu, China",43.9,52.0,48.6,60.0,City
"Ajmer, India",43.7,39.8,48.1,54.0,City
"Chandigarh, India",43.6,32.4,52.6,,City
"Gandhinagar, India",43.5,38.9,55.9,,City
"Shymkent, Kazakhstan",43.5,,,,City
"Zhengzhou, China",43.4,50.9,58.4,64.1,City
"Yibin, China",43.3,38.8,45.9,49.3,City
"Tangshan, China",43.2,46.8,52.6,63.5,City
"Yanta, China",43.2,,,,City
"Zhoucun, China",43.2,,,,City
"Yangliuqing, China",43.1,,,,City
"Changsha, China",43.0,41.0,46.8,45.8,City
"Yangcun, China",43.0,,,,City
"Talcher, India",43.0,42.6,38.4,58.0,City
"Zhumadian, China",42.9,45.9,52.1,60.4,City
"Ratlam, India",42.9,46.4,,,City
"Alwar, India",42.9,41.1,46.4,52.8,City
"Laktasi, Bosnia Herzegovina",42.8,,,,City
"Taozhuang, China",42.8,,,,City
"Tashkent, Uzbekistan",42.8,29.9,41.2,34.3,City
"Sanmenxia, China",42.7,47.5,56.1,57.5,City
"Hengshui, China",42.6,52.4,56.0,65.7,City
"Renqiu, China",42.6,,,,City
"Binzhou, China",42.6,49.0,53.6,55.8,City
"Bhopal, India",42.6,39.1,44.6,,City
"Jabalpur, India",42.5,46.7,,,City
"Yanzhou, China",42.4,,,,City
"Zhangqiu, China",42.4,49.1,50.1,49.2,City
"Siliguri, India",42.4,58.2,39.6,44.5,City
"Xiangtan, China",42.3,38.2,46.8,46.6,City
"Prijedor, Bosnia Herzegovina",42.2,,,,City
"Huaibei, China",42.2,49.8,55.1,58.2,City
"Huainan, China",42.2,47.4,52.5,54.8,City
"Pune, India",42.2,39.7,35.7,46.3,City
"Bloemfontein, South Africa",42.2,17.2,42.3,,City
"Cangzhou, China",42.1,52.0,53.0,65.2,City
"Korla, China",42.1,44.7,47.1,46.3,City
"Suzhou, China",42.0,47.0,52.6,57.6,City
"Jinan, China",42.0,49.0,54.4,52.9,City
"Qingnian, China",42.0,,,,City
"Wujiaqu, China",41.7,40.6,53.9,67.8,City
"Jinzhou, China",41.6,46.9,45.3,44.4,City
"Esfahan, Iran",41.6,33.4,32.5,27.6,City
"Nanding, China",41.5,,,,City
"Polistena, Italy",41.5,,,,City
"Cacak, Serbia",41.5,30.3,,,City
"Dingtao, China",41.3,,,,City
"Xian, China",41.1,49.3,56.6,59.9,City
"Juye, China",41.1,,,,City
"Islamabad, Pakistan",41.1,39.0,35.2,38.6,City
"Yanliang, China",41.0,51.0,45.5,,City
"Thanh Pho Thai Nguyen, Vietnam",40.8,,,,City
"Nashik, India",40.7,32.8,39.3,39.8,City
"Caidian, China",40.3,,,,City
"Chengdu, China",40.3,40.5,42.4,48.8,City
"Wuwei, China",40.2,37.6,33.1,42.2,City
"Weifang, China",40.2,49.9,56.2,52.6,City
"Langfang, China",40.1,43.3,47.1,55.8,City
"Yichang, China",40.0,40.8,52.5,52.1,City
"Changde, China",40.0,40.7,47.5,42.3,City
"Tangjiazhuang, China",39.9,,,,City
"Tianjin, China",39.9,48.9,51.3,52.3,City
"Fushun, China",39.7,43.3,43.0,41.2,City
"Datong, China",39.6,,,,City
"Huayin, China",39.6,44.0,38.6,,City
"Palwal, India",39.6,48.1,82.1,,City
"Bozhou, China",39.5,48.3,54.0,57.5,City
"Mingguang, China",39.5,,,,City
"Nan, Thailand",39.5,32.5,,,City
"Hyderabad, India",39.4,34.7,39.0,44.2,City
"Bengbu, China",39.3,44.5,51.3,52.8,City
"Susangerd, Iran",39.3,,,,City
"Cho, Vietnam",39.3,,,,City
"Suqian, China",39.2,45.9,47.9,53.1,City
"Changzhi, China",39.2,45.5,47.5,53.2,City
"Agartala, India",39.2,,,,City
"Jakarta, Indonesia",39.2,39.6,49.4,45.3,City
"Xinyang, China",39.1,40.7,47.8,53.8,City
"Jinzhong, China",39.1,43.0,45.5,53.5,City
"Atyrau, Kazakhstan",39.1,,,,City
"Zhuzhou, China",39.0,36.7,46.3,42.3,City
"Dewas, India",38.9,39.2,38.5,48.2,City
"Mala Kladusa, Bosnia Herzegovina",38.7,,,,City
"Leshan, China",38.6,35.8,42.0,45.7,City
"Ahvaz, Iran",38.6,39.5,,,City
"Tshwane, South Africa",38.5,,,,City
"Yuxia, China",38.4,44.5,37.0,,City
"Dongying, China",38.4,45.7,48.6,47.4,City
"Luzhou, China",38.3,37.3,40.8,37.0,City
"Klang, Malaysia",38.2,28.4,20.7,,City
"Orzesze, Poland",38.2,44.1,,,City
"Doha, Qatar",38.2,44.3,,,City
