Location,2021,2020,2019,2018,Type
"Shahr Kord, Iran",17.9,,,,City
"Khorramabad, Iran",17.9,23.5,,,City
"Jerusalem, Israel",17.9,17.2,20.9,18.9,City
"Irapuato, Mexico",17.9,18.2,19.2,19.7,City
"Handlova, Slovakia",17.9,16.2,13.8,16.7,City
"Ocheon, South Korea",17.9,16.5,,,City
"Nashville, USA",17.9,,,,City
"Kettle Falls, USA",17.9,11.2,7.6,,City
"Placido de Castro, Brazil",17.8,15.6,,,City
"Frydek-Mistek, Czech Republic",17.8,16.2,17.6,26.9,City
"Meppen, Germany",17.8,,,,City
"Keratsini, Greece",17.8,16.7,,,City
"Kipseli, Greece",17.8,16.9,20.7,,City
"Tai Po, Hong Kong SAR",17.8,,,,City
"Nyiregyhaza, Hungary",17.8,15.7,,,City
"Nir Yisrael, Israel",17.8,16.1,18.8,17.5,City
"Ponik, Poland",17.8,15.2,12.8,17.7,City
"Chungju, South Korea",17.8,,27.4,26.4,City
"Daegu, South Korea",17.8,19.8,22.1,,City
"Namyangju, South Korea",17.8,20.1,24.8,23.9,City
"Dunsmuir, USA",17.8,14.1,6.8,,City
"Barrière, Canada",17.7,8.7,8.2,,City
"Concepcion, Chile",17.7,13.0,14.9,19.6,City
"Haixi, China",17.7,14.6,15.5,22.4,City
"Olomouc, Czech Republic",17.7,15.8,16.1,19.0,City
"Merate, Italy",17.7,,,,City
"Terwinselen, Netherlands",17.7,13.6,15.2,,City
"Milicz, Poland",17.7,,,,City
"Gumi, South Korea",17.7,18.5,20.3,25.2,City
"Gosan, South Korea",17.7,,26.1,,City
"Muan, South Korea",17.7,,,,City
"Baku, Azerbaijan",17.6,,,,City
"Sofia, Bulgaria",17.6,27.5,26.8,28.2,City
"Souroti, Greece",17.6,,,,City
"Pardes Hanna-Karkur, Israel",17.6,21.5,20.6,26.8,City
"Bergamo, Italy",17.6,17.8,18.5,18.0,City
"Terneuzen, Netherlands",17.6,,,,City
"Yeonil, South Korea",17.6,17.2,,,City
"Colombo, Sri Lanka",17.6,22.4,25.2,32.0,City
"Istanbul, Turkey",17.6,16.7,19.9,21.7,City
"Viet Tri, Vietnam",17.6,,,,City
"Tailai, China",17.5,,,,City
"Psychiko, Greece",17.5,,,,City
"Vrilissia, Greece",17.5,,,,City
"Be'er Sheva, Israel",17.5,16.1,19.2,16.1,City
"Sderot, Israel",17.5,17.5,20.1,19.6,City
"Alor Gajah, Malaysia",17.5,13.8,16.9,,City
"Tsetserleg, Mongolia",17.5,18.0,15.2,,City
"Strazske, Slovakia",17.5,15.8,18.7,19.5,City
"Secunda, South Africa",17.5,21.8,27.3,,City
"Seocheon, South Korea",17.5,19.2,24.3,,City
"Yangsan, South Korea",17.5,,21.2,22.4,City
"Kandy, Sri Lanka",17.5,21.9,20.6,,City
"Pathum Thani, Thailand",17.5,24.0,26.2,,City
"Mount Shasta, USA",17.5,14.4,9.1,,City
"Puerto Aysen, Chile",17.4,17.6,22.0,,City
"Valasske Mezirici, Czech Republic",17.4,15.0,17.2,24.8,City
"Saint-Denis, France",17.4,15.9,16.3,17.6,City
"Chaidari, Greece",17.4,16.5,,,City
"Hamedan, Iran",17.4,18.8,21.8,,City
"Sarayan, Iran",17.4,,,,City
"Ein Ya'akov, Israel",17.4,17.7,20.1,20.1,City
"Ashkelon, Israel",17.4,15.6,18.8,20.8,City
"Kiryat Gat, Israel",17.4,16.0,19.1,,City
"Mantova, Italy",17.4,,,,City
"Sesto San Giovanni, Italy",17.4,,,,City
"Chieri, Italy",17.4,,,,City
"Roosendaal, Netherlands",17.4,,,,City
"Novaky, Slovakia",17.4,16.3,11.4,,City
"Wonju, South Korea",17.4,18.4,27.7,29.6,City
"Ungsang, South Korea",17.4,,,,City
"Phuket, Thailand",17.4,13.8,11.4,,City
"Rayong, Thailand",17.4,17.1,17.5,21.2,City
"Izmir, Turkey",17.4,,,,City
"Lake of the Pines, USA",17.4,,,,City
"Zulte, Belgium",17.3,,,,City
"Burgas, Bulgaria",17.3,17.8,17.4,,City
"Los Angeles, Chile",17.3,17.0,21.7,21.6,City
"Zhaobaoshan, China",17.3,,,,City
"Debrecen, Hungary",17.3,16.1,,,City
"Kiryat Yam, Israel",17.3,17.5,18.1,,City
"Qiryat Shemona, Israel",17.3,16.8,20.4,,City
"Brembate di Sopra, Italy",17.3,,,,City
"Krosno, Poland",17.3,,,,City
"Brasov, Romania",17.3,18.3,18.0,21.3,City
"Valeni, Romania",17.3,,,,City
"Hwasun, South Korea",17.3,,,,City
"Cameron Park, USA",17.3,17.0,8.3,,City
"Easton, USA",17.3,,,,City
"Salida, USA",17.3,,,,City
"Harrisville, USA",17.3,,,,City
"Talca, Chile",17.2,14.6,17.6,13.7,City
"Linhai, China",17.2,,,,City
"Studenka, Czech Republic",17.2,16.2,18.0,25.4,City
"Kiryat Ata, Israel",17.2,15.5,19.7,21.1,City
"Land van Cuijk, Netherlands",17.2,,,,City
"Veles, North Macedonia",17.2,,,,City
"Ploiesti, Romania",17.2,,,,City
"Geoje, South Korea",17.2,,20.5,21.0,City
"Hua Hin, Thailand",17.2,19.1,21.0,,City
"Ankara, Turkey",17.2,18.5,18.4,19.6,City
"Del Aire, USA",17.2,,,,City
"Coldstream, Canada",17.1,,,,City
"Faya-Largeau, Chad",17.1,,,,City
"Dali, China",17.1,15.6,16.8,16.0,City
"Kunyang, China",17.1,,,,City
"Decin, Czech Republic",17.1,16.4,17.8,23.1,City
"Meiderich, Germany",17.1,,,,City
"Agia Varvara, Greece",17.1,,,,City
"Erez, Israel",17.1,,,,City
"Tambopata, Peru",17.1,,,,City
"Biskupiec, Poland",17.1,14.4,,,City
"eMbalenhle, South Africa",17.1,15.6,30.0,,City
"Taichung, Taiwan",17.1,15.5,18.0,19.2,City
"Ban Bang Kadi Pathum Thani, Thailand",17.1,19.5,,,City
"Yerington, USA",17.1,,,,City
"Tantou, China",17.0,,,,City
"Moravska Trebova, Czech Republic",17.0,16.2,18.9,23.0,City
"El Chol, Guatemala",17.0,19.2,,,City
"Macao, Macao SAR",17.0,17.8,23.5,21.2,City
"Turnu Magurele, Romania",17.0,,,,City
"Ramnicu Valcea, Romania",17.0,,,,City
"Trebisov, Slovakia",17.0,,,,City
"Hartbeespoort, South Africa",17.0,20.8,60.0,,City
"Yonmu, South Korea",17.0,,,,City
"Hoengseong, South Korea",17.0,,24.9,,City
"Uiwang, South Korea",17.0,,27.1,25.1,City
"Simwon, South Korea",17.0,,,,City
"Sorgun, Turkey",17.0,12.8,14.4,,City
"Plumas, USA",17.0,,,,City
"Brockport, USA",17.0,9.4,10.0,,City
"Sunriver, USA",17.0,,,,City
"Danshui, China",16.9,,,,City
"Hulan Ergi, China",16.9,,,,City
"Seri Manjung, Malaysia",16.9,17.4,16.2,,City
"Taiping, Malaysia",16.9,16.3,15.1,,City
"Oost Gelre, Netherlands",16.9,,,,City
"Trujillo, Peru",16.9,16.4,18.1,,City
"Gimcheon, South Korea",16.9,17.8,25.3,24.8,City
"Aranyaprathet, Thailand",16.9,16.5,,,City
"Hat Yai, Thailand",16.9,17.3,,,City
"Clovis, USA",16.9,22.8,10.1,,City
"Fresno, USA",16.9,22.2,12.0,14.0,City
"McArthur, USA",16.9,,,,City
"Yreka, USA",16.9,12.2,7.8,,City
"Rice Lake, USA",16.9,,,,City
"Osasco, Brazil",16.8,16.7,19.8,22.1,City
"Rengo, Chile",16.8,18.8,24.1,18.9,City
"Monza, Italy",16.8,,,,City
"Treviglio, Italy",16.8,,,,City
"Ursus, Poland",16.8,17.0,17.9,,City
"Opatow, Poland",16.8,,,,City
"Danyang, South Korea",16.8,,29.4,25.7,City
"Ban Talat Bueng, Thailand",16.8,17.1,,,City
"Kocaeli, Turkey",16.8,16.9,19.2,,City
"Alturas, USA",16.8,,,,City
"Bakersfield, USA",16.8,20.7,11.3,15.9,City
"Foresthill, USA",16.8,,,,City
"Rio Claro, Brazil",16.7,17.8,,,City
"Kelowna, Canada",16.7,7.7,7.1,,City
"La Union, Chile",16.7,17.3,24.3,,City
"Youhao, China",16.7,,,,City
"Plock, Poland",16.7,16.8,18.4,20.4,City
"Yecheon, South Korea",16.7,14.8,,,City
"Gochang, South Korea",16.7,,19.9,19.9,City
"Tha Muang, Thailand",16.7,24.4,,,City
"Denair, USA",16.7,,,,City
"Redding, USA",16.7,14.1,6.4,,City
"Claymont, USA",16.7,,,,City
"Belle Vernon, USA",16.7,,,,City
"New Bloomfield, USA",16.7,,,,City
"Puerto Montt, Chile",16.6,18.9,26.4,22.6,City
"Zanjan, Iran",16.6,,15.1,18.6,City
"Chiaravalle, Italy",16.6,15.3,13.7,,City
"Citta di Castello, Italy",16.6,21.8,17.0,15.4,City
"Terni, Italy",16.6,,,,City
"Shetpe, Kazakhstan",16.6,,,,City
"Balik Pulau, Malaysia",16.6,17.9,16.1,,City
"Gelugor, Malaysia",16.6,15.5,15.4,,City
"Leon, Mexico",16.6,19.0,20.9,20.8,City
"Vranov nad Toplou, Slovakia",16.6,14.4,16.2,18.7,City
"Gyeryong, South Korea",16.6,,22.8,,City
"Nelson Kutenai Place, Canada",16.5,,,,City
"La Greda, Chile",16.5,14.5,15.6,,City
"Afula, Israel",16.5,15.9,18.5,18.5,City
"Ashdod, Israel",16.5,15.8,20.6,19.6,City
"Sondrio, Italy",16.5,,,,City
"Al Quwayrah, Jordan",16.5,14.9,18.3,,City
"Temerloh, Malaysia",16.5,15.3,16.0,,City
"Gdansk, Poland",16.5,15.0,14.2,10.1,City
"Banska Bystrica, Slovakia",16.5,15.8,15.3,17.6,City
"Chuncheon, South Korea",16.5,,22.5,21.3,City
"Eisen, South Korea",16.5,17.3,,,City
"Covina, USA",16.5,,,,City
"Paramount, USA",16.5,,,,City
"Pico Rivera, USA",16.5,15.0,14.9,,City
"Tahoe City, USA",16.5,8.5,,,City
"Campinas, Brazil",16.4,,20.0,16.0,City
"Wenling, China",16.4,,,,City
"Yad Binyamin, Israel",16.4,15.3,,,City
"Bu`eina, Israel",16.4,,,,City
"Bilecik , Turkey",16.4,15.8,17.8,,City
"Garden Valley, USA",16.4,17.4,6.3,,City
"Millville, USA",16.4,16.6,6.4,,City
"West Covina, USA",16.4,17.9,13.8,,City
"Medford, USA",16.4,15.8,8.7,22.0,City
"Ruse, Bulgaria",16.3,19.4,22.0,24.8,City
"Quintero, Chile",16.3,16.0,14.8,,City
"Beipiao, China",16.3,,,,City
"Glyfada, Greece",16.3,,,,City
"Denpasar, Indonesia",16.3,18.4,22.0,19.4,City
"Haifa, Israel",16.3,16.2,18.0,16.7,City
"Yokote, Japan",16.3,,15.9,15.0,City
"Puebla, Mexico",16.3,24.6,,,City
"Gorzow Wielkopolski, Poland",16.3,12.7,,,City
"Arad, Romania",16.3,,,,City
"Durban, South Africa",16.3,,,,City
"Namwon, South Korea",16.3,,25.5,22.3,City
"Eastvale, USA",16.3,17.7,16.2,,City
"Escalon, USA",16.3,20.5,10.2,,City
"San Gabriel, USA",16.3,17.3,14.2,,City
"Whitmore, USA",16.3,14.1,4.8,,City
"Prerov, Czech Republic",16.2,15.5,17.9,22.9,City
"Krzanowice, Poland",16.2,14.5,,,City
"Middelburg, South Africa",16.2,19.8,26.6,,City
"Hongch'on, South Korea",16.2,,,,City
"Naeso, South Korea",16.2,,,,City
"Jangheung, South Korea",16.2,,,,City
"Chiasso, Switzerland",16.2,,,,City
"Pak Chong, Thailand",16.2,17.3,,,City
"Alta Sierra, USA",16.2,,,,City
"Anderson, USA",16.2,15.9,10.6,27.8,City
"Chowchilla, USA",16.2,,,,City
"Fontana, USA",16.2,,,,City
"Koreatown, USA",16.2,,,,City
"Magalia, USA",16.2,18.5,5.5,,City
"Montebello, USA",16.2,,,,City
"Oak Run, USA",16.2,17.5,5.3,,City
"Prather, USA",16.2,,,,City
"Guarulhos, Brazil",16.1,16.4,18.7,21.6,City
"Kamloops, Canada",16.1,5.8,6.3,,City
"Curanilahue, Chile",16.1,15.4,21.6,,City
"Bogor, Indonesia",16.1,29.6,,,City
"Gan Yavne, Israel",16.1,15.2,18.8,,City
"Terlizzi, Italy",16.1,19.6,19.9,,City
"Varese, Italy",16.1,,,,City
"L-Imsida, Malta",16.1,11.8,15.0,,City
"Kavadarci, North Macedonia",16.1,,,,City
"Gubin, Poland",16.1,,,,City
"Bialystok, Poland",16.1,13.8,13.7,16.3,City
"Yeoncheon, South Korea",16.1,,21.8,20.6,City
"Rotkreuz, Switzerland",16.1,15.4,16.3,,City
"Arwad, Syria",16.1,,,,City
"Atwater, USA",16.1,,,,City
"Bellflower, USA",16.1,,,,City
"Diamond Bar, USA",16.1,17.5,16.0,,City
"Melissia, Greece",16.0,15.3,,,City
"Kiryat Tiv'on, Israel",16.0,15.1,18.4,18.0,City
"Kiryat Malakhi, Israel",16.0,15.9,19.8,18.9,City
"Zhetibay, Kazakhstan",16.0,,,,City
"Hnusta, Slovakia",16.0,14.0,16.2,18.9,City
"Imsil, South Korea",16.0,,22.5,,City
"Edirne, Turkey",16.0,17.2,18.6,15.0,City
"Ardesen, Turkey",16.0,20.0,14.9,,City
"Tekirdag, Turkey",16.0,16.6,18.5,,City
"Graeagle, USA",16.0,,,,City
"Muskegon, USA",16.0,,,,City
"Newark, USA",16.0,,,,City
"Rogue River, USA",16.0,,,,City
"Chiguayante, Chile",15.9,14.9,19.8,17.0,City
"Gannan, China",15.9,19.5,22.5,30.3,City
"Paralimni, Cyprus",15.9,14.3,15.9,18.4,City
"La Libertad, Guatemala",15.9,,,,City
"Hong Kong, Hong Kong SAR",15.9,15.4,20.3,20.2,City
"Avellino, Italy",15.9,21.0,14.2,15.1,City
"Asti, Italy",15.9,,,,City
"Pasir Gudang, Malaysia",15.9,14.0,15.1,,City
"Mexicali, Mexico",15.9,19.7,17.7,30.2,City
"Jaslo, Poland",15.9,13.2,,,City
"Prievidza, Slovakia",15.9,15.9,15.5,18.2,City
"Hanam, South Korea",15.9,,24.3,22.1,City
"Gyeongju, South Korea",15.9,16.7,21.2,,City
"Pohang, South Korea",15.9,15.7,18.5,23.6,City
"Muslu, Turkey",15.9,15.2,,,City
"Newcastle, USA",15.9,16.3,7.1,,City
"San Pasqual, USA",15.9,,,,City
"Oakridge, USA",15.9,13.3,9.7,10.5,City
"Opava, Czech Republic",15.8,14.9,16.9,24.5,City
"Kamensk-Shakhtinskiy, Russia",15.8,16.0,,,City
"Trnava, Slovakia",15.8,16.3,16.7,20.5,City
"Kurye, South Korea",15.8,,,,City
"El Grao de Castellón, Spain",15.8,,,,City
"Galt, USA",15.8,,,,City
"Hawthorne, USA",15.8,16.7,13.8,,City
"Pomona, USA",15.8,17.0,14.5,,City
"Nagqu, China",15.7,15.6,18.4,32.9,City
"Eindhoven, Netherlands",15.7,13.3,,,City
"Metro Manila, Philippines",15.7,13.1,18.2,,City
"Geochang, South Korea",15.7,,16.3,,City
"Bell, USA",15.7,17.3,,,City
"El Dorado, USA",15.7,,,,City
"Maywood, USA",15.7,17.5,16.5,,City
"Palermo, USA",15.7,17.9,,,City
"Stanislaus, USA",15.7,,,,City
"Yosemite Lakes, USA",15.7,37.8,8.8,,City
"Huntington, USA",15.7,,,,City
"Longnan, China",15.6,15.9,18.6,29.6,City
"Xiaoweizhai, China",15.6,,,,City
"Medellin, Colombia",15.6,19.1,19.9,,City
"Este, Italy",15.6,,,,City
"Segamat District, Malaysia",15.6,13.9,16.2,,City
"Bardejov, Slovakia",15.6,,,,City
"Galanta, Slovakia",15.6,,,,City
"Busan, South Korea",15.6,16.7,21.0,,City
"Daejeon, South Korea",15.6,16.9,21.8,,City
"Dongducheon, South Korea",15.6,,27.6,25.6,City
"Jangheung, South Korea",15.6,,,,City
"Jinan, South Korea",15.6,,25.8,,City
"Naju, South Korea",15.6,,22.7,,City
"Nevsehir, Turkey",15.6,21.0,,,City
"North El Monte, USA",15.6,,,,City
"Oakdale, USA",15.6,,7.1,,City
"Harlan, USA",15.6,13.2,14.1,,City
"Carnegie, USA",15.6,,,,City
"Peaceful Valley, USA",15.6,,,,City
"Sao Caetano do Sul, Brazil",15.5,15.0,17.2,18.1,City
"Hulunbeir, China",15.5,17.2,17.4,16.7,City
"Desinic Gora, Croatia",15.5,13.3,13.3,14.6,City
"Metamorfosi, Greece",15.5,,,,City
"Piraeus, Greece",15.5,16.0,18.2,,City
"Magurele, Romania",15.5,,15.7,18.9,City
"Mendrisio, Switzerland",15.5,,,,City
"Lake Wildwood, USA",15.5,,,,City
"Norwalk, USA",15.5,,,,City
"Pine Grove, USA",15.5,,,,City
"Roswell, USA",15.5,,,,City
"Seeley Lake, USA",15.5,14.2,11.8,12.0,City
"Montrose-Ghent, USA",15.5,,,,City
"West Newton, USA",15.5,,,,City
"Brasileia, Brazil",15.4,18.6,,,City
"Puchuncavi, Chile",15.4,14.0,15.9,14.8,City
"Brno, Czech Republic",15.4,13.5,15.7,20.4,City
"Narni Scalo, Italy",15.4,,,,City
"Mansue, Italy",15.4,,,,City
"Tangkak, Malaysia",15.4,13.0,18.6,,City
"Caciulati, Romania",15.4,,,,City
"Jinju, South Korea",15.4,16.7,18.1,18.5,City
"Ingye, South Korea",15.4,,,,City
"Gwangyang, South Korea",15.4,15.7,18.5,20.0,City
"Yalova, Turkey",15.4,14.1,17.8,,City
"Compton, USA",15.4,18.0,15.7,,City
"Cottonwood, USA",15.4,18.4,7.8,,City
"El Monte, USA",15.4,18.0,15.2,,City
"Hanford, USA",15.4,20.4,,,City
"West Hollywood, USA",15.4,16.5,14.3,,City
"Venice, USA",15.4,,,,City
"Glassport, USA",15.4,,,,City
"Fairwood, USA",15.4,,,,City
"Tonasket, USA",15.4,10.1,6.2,,City
"Diqingzhou, China",15.3,13.5,12.0,11.4,City
"Beroun, Czech Republic",15.3,14.0,15.6,22.5,City
"Leini, Italy",15.3,,,,City
"Seremban, Malaysia",15.3,13.7,16.0,,City
"Baia Mare, Romania",15.3,12.5,11.9,,City
"Satu Mare, Romania",15.3,,,,City
"Scheia, Romania",15.3,15.0,,,City
"Hwacheon, South Korea",15.3,,,,City
"Sangkhla Buri, Thailand",15.3,,,,City
"Thap Sakae, Thailand",15.3,,,,City
"Auberry, USA",15.3,,,,City
"Riverbank, USA",15.3,,,,City
"Oostrozebeke, Belgium",15.2,13.9,15.1,17.2,City
"Sao Bernardo do Campo, Brazil",15.2,15.9,16.7,16.4,City
"Cochrane, Canada",15.2,,7.9,,City
"Dawson City, Canada",15.2,,,,City
"Northeim, Germany",15.2,13.0,14.2,,City
"Kermanshah, Iran",15.2,,,,City
"Abhar, Iran",15.2,,,,City
"Casoria, Italy",15.2,,,,City
"Fabriano, Italy",15.2,13.0,,,City
"Kunwi, South Korea",15.2,13.9,,,City
"Miryang, South Korea",15.2,,19.6,,City
"Bolu , Turkey",15.2,22.5,24.8,,City
"Hoopa, USA",15.2,,,,City
"Ione, USA",15.2,,,,City
"Signal Hill, USA",15.2,,,,City
"South Gate, USA",15.2,18.1,15.2,,City
"Walnut, USA",15.2,,,,City
"Ashland, USA",15.2,12.4,6.4,14.8,City
"Eagle Mountain, USA",15.2,8.1,5.4,,City
"Manitowoc, USA",15.2,,,,City
"Varpalota, Hungary",15.1,14.7,,,City
"Ariyalur, India",15.1,,,,City
"Gdynia, Poland",15.1,12.7,,,City
"Zvolen-Motova, Slovakia",15.1,12.5,15.2,15.9,City
"Nitra, Slovakia",15.1,14.1,15.1,17.6,City
"Trencin, Slovakia",15.1,15.6,17.9,19.8,City
"Gwanin, South Korea",15.1,,,,City
"Yanggu, South Korea",15.1,,,,City
"Gimhae, South Korea",15.1,16.9,20.8,20.2,City
"Murcia, Spain",15.1,16.1,,,City
"Sawankhalok, Thailand",15.1,29.4,,,City
"Eskisehir, Turkey",15.1,18.6,17.5,,City
"La Verne, USA",15.1,,,,City
"Adrian, USA",15.1,,,,City
"Libby, USA",15.1,14.7,12.2,14.9,City
"Winthrop, USA",15.1,7.5,5.3,11.2,City
"Wielsbeke, Belgium",15.0,13.9,14.8,16.5,City
"Aba, China",15.0,14.3,14.7,11.3,City
"Limassol, Cyprus",15.0,,,,City
"Szolnok, Hungary",15.0,15.0,17.2,,City
"Lamezia Terme, Italy",15.0,,,,City
"Frosinone, Italy",15.0,15.1,15.4,,City
"Borgo, Italy",15.0,14.6,12.4,,City
"Ferizaj, Kosovo",15.0,18.6,,,City
"Parit Sulong, Malaysia",15.0,11.4,15.5,,City
"Utrechtse Heuvelrug, Netherlands",15.0,,,,City
"El Tambo, Peru",15.0,,,,City
"Ciemniewo, Poland",15.0,12.9,,,City
"Ko Chang Tai, Thailand",15.0,10.8,,,City
"Buena Park, USA",15.0,,,,City
"Glendora, USA",15.0,14.8,11.8,12.9,City
"Inglewood, USA",15.0,,,,City
"Placentia, USA",15.0,,,,City
"Rosemead, USA",15.0,17.3,14.7,,City
"Patra, Greece",14.9,16.6,17.5,,City
"Szazhalombatta, Hungary",14.9,14.9,12.5,13.3,City
"Bandar Bushehr, Iran",14.9,,,,City
"Jerantut, Malaysia",14.9,13.7,13.3,,City
"Bucharest, Romania",14.9,15.5,18.4,20.3,City
"Zimnicea, Romania",14.9,,,,City
"Malacky, Slovakia",14.9,16.8,16.1,18.1,City
"Senica, Slovakia",14.9,13.8,14.3,16.7,City
"Ulsan, South Korea",14.9,16.3,20.1,,City
"Sants, Spain",14.9,,,,City
"Dietikon, Switzerland",14.9,,,,City
"Balikesir, Turkey",14.9,15.1,18.2,,City
"East Pasadena, USA",14.9,,,,City
"Paradise, USA",14.9,11.7,4.3,17.9,City
"Shingletown, USA",14.9,15.6,6.4,,City
"Avondale Estates, USA",14.9,,,,City
"Gary, USA",14.9,,,,City
"Monongahela, USA",14.9,,,,City
"Prosser, USA",14.9,,,,City
"Sao Paulo, Brazil",14.8,14.2,15.3,16.2,City
"Nicosia, Cyprus",14.8,15.5,19.2,17.4,City
"Islas Agrarias Grupo A, Mexico",14.8,16.3,13.6,,City
"Siedlce, Poland",14.8,15.7,16.3,22.0,City
"Branistea, Romania",14.8,18.0,25.9,16.8,City
"Karaman, Turkey",14.8,19.2,19.6,,City
"Alhambra, USA",14.8,15.9,14.4,,City
"Burbank, USA",14.8,17.4,15.5,,City
"Corning, USA",14.8,18.7,7.9,,City
"Laton, USA",14.8,,,,City
"Newman, USA",14.8,,,,City
"Rowland Heights, USA",14.8,,,,City
"South Pasadena, USA",14.8,,13.4,,City
"Aiken, USA",14.8,,,,City
"Zhoushan, China",14.7,16.4,19.8,21.3,City
"Zlin, Czech Republic",14.7,13.0,16.5,21.7,City
"Patras, Greece",14.7,,,,City
"Cairo Montenotte, Italy",14.7,,,,City
"Toamasina, Madagascar",14.7,14.9,,,City
"Kocani, North Macedonia",14.7,,,,City
"Donghae, South Korea",14.7,,19.9,19.2,City
"Andong, South Korea",14.7,,19.7,25.5,City
"Changwon, South Korea",14.7,17.2,19.2,20.6,City
"Gaigeturi, South Korea",14.7,,,,City
"Miaoli, Taiwan",14.7,13.4,16.6,19.6,City
"Beverly Hills, USA",14.7,,,,City
"Hacienda Heights, USA",14.7,15.3,13.0,,City
"Madera, USA",14.7,17.3,9.7,,City
"Monrovia, USA",14.7,,,,City
"North Tustin, USA",14.7,,,,City
"Yorba Linda, USA",14.7,,,,City
"Midland, USA",14.7,,,,City
"Metaline, USA",14.7,,,,City
"Heihe, China",14.6,16.4,14.8,18.0,City
"Gyor, Hungary",14.6,12.5,,,City
"Naples, Italy",14.6,16.7,22.8,13.8,City
"Pristina, Kosovo",14.6,20.0,23.5,30.4,City
"Vilnius, Lithuania",14.6,13.4,15.8,18.2,City
"Alor Setar, Malaysia",14.6,13.6,12.7,,City
"Tanjung Tokong, Malaysia",14.6,,,,City
"Brzeg, Poland",14.6,,,,City
"Przemysl, Poland",14.6,18.0,20.9,23.1,City
"Bor, Serbia",14.6,16.1,18.1,,City
"Palgeum, South Korea",14.6,,,,City
"Ahwahnee, USA",14.6,,,,City
"Corcoran, USA",14.6,19.4,,,City
"Lakewood, USA",14.6,15.8,,,City
"Lawndale, USA",14.6,15.8,13.2,,City
"Marysville, USA",14.6,,,,City
"Modesto, USA",14.6,16.5,8.1,15.1,City
"Rancho Cucamonga, USA",14.6,,,,City
"Coalville, USA",14.6,,4.1,,City
"Puente Alto, Chile",14.5,,,,City
"Golog, China",14.5,13.8,19.1,21.2,City
"Hradec Kralove, Czech Republic",14.5,13.7,14.8,19.7,City
"Marianske Radcice, Czech Republic",14.5,14.9,15.5,20.5,City
"Biot, France",14.5,,,,City
"Papagou, Greece",14.5,14.2,15.5,,City
"Hernadszurdok, Hungary",14.5,13.1,,,City
"Tijuana, Mexico",14.5,26.1,,,City
"Haelen, Netherlands",14.5,14.3,15.7,,City
"Sandomierz, Poland",14.5,,,,City
"Lephalale, South Africa",14.5,12.8,14.1,,City
"Sacheon, South Korea",14.5,,17.8,16.4,City
"Taoyuan, Taiwan",14.5,13.8,16.0,17.9,City
"Adana, Turkey",14.5,,,,City
"Butte, USA",14.5,,,,City
"Citrus Heights, USA",14.5,,,,City
"Colton, USA",14.5,,16.1,,City
"Friant, USA",14.5,23.6,7.8,,City
"Monterey Park, USA",14.5,16.3,14.5,,City
"North Hollywood, USA",14.5,,,,City
"Shaver Lake, USA",14.5,15.4,,,City
"Shingle Ekurhuleni, USA",14.5,,,,City
"Turlock, USA",14.5,18.0,12.0,17.3,City
"Whittier, USA",14.5,15.5,13.4,,City
"Crainville, USA",14.5,,,,City
"Reno, USA",14.5,9.6,4.2,8.4,City
"Freedom, USA",14.5,,,,City
"Brewster, USA",14.5,11.9,7.7,,City
"Evergem, Belgium",14.4,13.0,14.2,15.3,City
"Leuven, Belgium",14.4,12.5,14.6,,City
"Nivelles, Belgium",14.4,13.6,,,City
"Concon, Chile",14.4,12.4,14.1,,City
"Nesher, Israel",14.4,13.6,16.8,12.4,City
"Martirano Lombardo, Italy",14.4,,,,City
"Benevento, Italy",14.4,20.0,16.2,14.2,City
"Pignataro Maggiore, Italy",14.4,,,,City
"Foligno, Italy",14.4,,,,City
"Pitesti, Romania",14.4,,,,City
"Humenne, Slovakia",14.4,11.7,14.0,19.1,City
"Cartersville, USA",14.4,11.6,14.0,,City
"Peachtree Corners, USA",14.4,,,,City
"Alton, USA",14.4,,,,City
"Centerville, USA",14.4,,,,City
"Edgewood, USA",14.4,,,,City
"Norton, USA",14.4,11.1,12.6,,City
"Elizabeth, USA",14.4,,,,City
"Pateros, USA",14.4,11.9,7.3,,City
"Vina del Mar, Chile",14.3,12.1,13.8,11.9,City
"Haikou, China",14.3,14.1,16.3,17.1,City
"Larnaca, Cyprus",14.3,15.9,19.9,18.1,City
"Batumi, Georgia",14.3,17.0,,,City
"Croom, Ireland",14.3,,,,City
"Pozzuoli, Italy",14.3,,,,City
"Nairobi, Kenya",14.3,14.7,,,City
"Timisoara, Romania",14.3,,,,City
"Mahikeng, South Africa",14.3,11.3,26.5,,City
"Nammyeon, South Korea",14.3,,,,City
"Haeryong, South Korea",14.3,,,,City
"Na Wang, Thailand",14.3,12.8,26.8,,City
"Brea, USA",14.3,,,,City
"Claremont, USA",14.3,19.6,12.4,,City
"Culver City, USA",14.3,15.0,12.5,,City
"Fullerton, USA",14.3,16.1,13.0,,City
"Gardena, USA",14.3,15.3,12.2,,City
"Taft Heights, USA",14.3,,,,City
"Wawona, USA",14.3,27.8,9.8,,City
"Powder Ekurhuleni, USA",14.3,,,,City
"Tucker, USA",14.3,,,,City
"Battle Mountain, USA",14.3,,,,City
"Edgewood, USA",14.3,,,,City
"Nashville, USA",14.3,,9.6,9.5,City
"Valparaiso, Chile",14.2,12.9,14.4,13.4,City
"Budapest, Hungary",14.2,13.8,14.0,16.5,City
"Ratnapura, Sri Lanka",14.2,12.9,,,City
